,MouseID,DYRK1A_N,ITSN1_N,BDNF_N,NR1_N,NR2A_N,pAKT_N,pBRAF_N,pCAMKII_N,pCREB_N,pELK_N,pERK_N,pJNK_N,PKCA_N,pMEK_N,pNR1_N,pNR2A_N,pNR2B_N,pPKCAB_N,pRSK_N,AKT_N,BRAF_N,CAMKII_N,CREB_N,ELK_N,ERK_N,GSK3B_N,JNK_N,MEK_N,TRKA_N,RSK_N,APP_N,Bcatenin_N,SOD1_N,MTOR_N,P38_N,pMTOR_N,DSCR1_N,AMPKA_N,NR2B_N,pNUMB_N,RAPTOR_N,TIAM1_N,pP70S6_N,NUMB_N,P70S6_N,pGSK3B_N,pPKCG_N,CDK5_N,S6_N,ADARB1_N,AcetylH3K9_N,RRP1_N,BAX_N,ARC_N,ERBB4_N,nNOS_N,Tau_N,GFAP_N,GluR3_N,GluR4_N,IL1B_N,P3525_N,pCASP9_N,PSD95_N,SNCA_N,Ubiquitin_N,pGSK3B_Tyr216_N,SHH_N,BAD_N,BCL2_N,pS6_N,pCFOS_N,SYP_N,H3AcK18_N,EGR1_N,CaNA_N,class,Ts65Dn
321,417,0.353194544,0.544867193,0.339267767,2.309547739,4.232160804,0.233309404,0.173007897,2.883417085,0.182770998,1.219813352,0.39971285,0.322613065,0.373151472,0.266762383,0.819382627,0.56109117,1.560373295,2.045369706,0.48241206,0.660732233,0.330653266,0.342139268,0.170854271,1.195979899,2.88384781,1.366547021,0.254271357,0.277961235,0.730796841,0.159798995,0.362383345,2.112993539,0.305814788,0.465613783,0.383345298,0.697918162,0.560947595,0.364680546,0.572290022,0.382483848,0.31959799,0.400717875,0.466044508,0.170129667,0.90134354,0.165677238,2.211763787,0.318231526,0.420793626,1.655600687,0.296203718,0.144039994,0.19731292,0.116388064,0.156069364,0.159350102,0.197547258,0.121621622,0.191688799,0.103030776,0.513435401,0.305577254,1.564208717,2.113810342,0.139900016,1.134900797,0.83510389,0.208717388,0.154663334,0.131541947,0.116388064,0.12380878,0.511092017,0.197000469,0.169739103,1.760818622,1,0
598,200,0.392627058,0.503042233,0.251431639,1.726020043,2.377594846,0.187902649,0.149606299,1.582319256,0.176449535,1.022011453,0.414817466,0.205619184,0.256442377,0.2317466,0.561023622,0.30583393,1.052433787,1.302970651,0.396564066,0.431818182,0.349498926,0.276306371,0.168217609,0.702755906,1.498568361,1.026127416,0.202576951,0.221725125,0.545812455,0.14889048,0.344309234,1.429133858,0.260021475,0.315139585,0.29634932,0.521116679,0.446671439,0.236757337,0.413922691,0.238010021,0.220830351,0.301896922,0.384753042,0.170561178,0.70101196,0.187304508,2.15050598,0.292180313,0.451701932,0.767985281,0.185832567,0.180128795,0.174425023,0.106163753,0.150321987,0.165225391,0.182152714,0.134314627,0.196872125,0.105979761,0.527690892,0.301195952,1.352529899,2.376632935,0.161729531,1.115915363,0.932658694,0.256301748,0.15791424234717408,0.158969641,0.106163753,0.175896964,0.434590616,0.227966881,0.18313453845517236,1.520331187,4,1
534,526,0.2079566,0.368062317,0.227291696,1.933926833,3.174433162,0.20002782,0.154263458,2.44748922,0.165808875,1.017387676,0.28321046,0.242871053,0.218945611,0.232021143,0.713451106,0.551954375,1.305883989,0.983586034,0.433857282,0.710529976,0.219641118,0.326053693,0.165113368,0.957156767,2.014744749,0.843928224,0.199193212,0.220336625,0.54555571,0.140214216,0.288218111,1.781054389,0.571706774,0.339963834,0.307692308,0.574627904,0.424954792,0.26234525,0.440812352,0.217415496,0.221449437,0.280011128,0.217137293,0.177855275,0.954555362,0.160854403,1.144616391,0.292720139,0.341543156,0.971338274,0.120313862,0.162816042,0.197907585,0.135244115,0.164341761,0.184938971,0.176547515,0.120313862,0.210222319,0.110723627,0.62587184,0.275392328,1.60440279,2.45771578,0.157693984,1.31342633,0.901373147,0.256320837,0.162598082,0.133282476,0.135244115,0.165322581,0.474934612,0.164232781,0.180252833,1.424585876,3,0
578,179,0.646086165,0.942657767,0.313106796,2.259708738,3.694629854,0.217536408,0.170813107,2.274726942,0.21101335,1.636984223,0.836165049,0.236802184,0.320691748,0.253944175,0.743628641,0.428853155,1.445540049,1.59223301,0.412773058,0.567050971,0.609678398,0.351183252,0.175819175,0.940078883,2.416413835,1.424150485,0.239836165,0.263652913,0.761074029,0.166565534,0.474362864,2.221632282,0.31568568,0.367566748,0.286256068,0.639563107,0.524423544,0.330097087,0.488015777,0.281705097,0.244538835,0.363925971,0.386225728,0.157919893,0.820476054,0.149603288,1.639231431,0.284294045,0.351304847,0.875346525,0.150176847,0.129815505,0.171111748,0.099225695,0.137654144,0.182104961,0.184303604,0.103814167,0.214606634,0.111270433,0.432845808,0.250645254,1.24749068,2.325303508,0.101233152,0.914826498,0.866265175,0.192906988,0.118344327,0.13476174899371066,0.099225695,0.13105303943681595,0.347289934,0.106586368,0.110410095,1.739986617,4,1
451,307,0.351845384,0.592269182,0.388869484,3.147747118,5.753521947,0.26405868,0.205146117,4.289905693,0.268366515,1.283851438,0.378041681,0.36651531,0.322389102,0.318663407,1.160903481,1.138549307,2.180114099,1.350098964,0.465595529,0.93282105,0.276982187,0.405518687,0.186168355,1.759576202,3.483176156,1.248806613,0.268366515,0.325066946,0.88706485,0.183490511,0.424263593,3.227151007,1.040749796,0.548259402,0.456397718,0.973221562,0.54546513,0.45453487,0.730119921,0.321224822,0.351263244,0.474560484,0.370706718,0.222459215,1.005534098,0.144808901,1.514555831,0.312618897,0.359658731,1.686401107,0.077016199,0.141984205,0.191791088,0.143483023,0.171557042,0.238946215,0.179397014,0.106185508,0.22805096,0.122499568,0.517899349,0.314405949,1.811955958,2.618031936,0.163082954,1.32887531,0.800195999,0.213466305,0.13529717,0.109125497,0.143483023,0.112353721,0.55802156,0.107223151,0.164697066,1.163774716,3,0
848,14,0.40806529,0.607777244,0.308209313,2.096975516,3.567930869,0.293807009,0.20787326,2.599855977,0.201632261,1.585693711,0.581613058,0.353816611,0.313490158,0.303888622,0.801008161,0.734517523,1.524483917,1.290206433,0.454152664,0.656265002,0.429428709,0.407345175,0.183869419,1.01656265,2.79212674,0.984637542,0.260921747,0.315650504,0.692990879,0.179308689,0.418867019,1.903504561,0.351896303,0.449831973,0.369179069,0.740278445,0.858617379,0.390542487,0.586893903,0.44431109,0.352136342,0.514402304,0.266682669,0.171415717,1.039892022,0.176064787,1.430713857,0.315686863,0.533893221,1.324085183,0.197210558,0.226904619,0.213857229,0.121625675,0.166766647,0.167216557,0.193611278,0.151919616,0.147870426,0.106328734,0.49925015,0.348530294,1.350329934,2.016646671,0.186112777,1.234703059,0.654319136,0.232003599,0.208758248,0.182963407,0.121625675,0.13105303943681595,0.462207558,0.202159568,0.18313453845517236,1.275344931,5,1
477,319,0.326640695,0.509439616,0.323943662,2.271501349,2.823793827,0.284087504,0.228049146,2.556188193,0.252322445,1.515732694,0.441414444,0.341923884,0.279892119,0.341923884,0.798921187,0.690440515,1.500749176,1.141744082,0.463590051,0.851962841,0.415043452,0.454000599,0.227749476,1.103685945,2.069523524,1.064129458,0.277794426,0.303865748,0.697932274,0.232244531,0.351513335,2.001798022,0.973329338,0.47947258,0.437219059,0.783038657,0.671860953,0.345519928,0.633802817,0.302367396,0.307761462,0.369493557,0.358405754,0.14201304,0.898329258,0.162591687,1.319478403,0.296862266,0.270171149,1.081499593,0.063569682,0.170537897,0.15403423,0.131621842,0.163610432,0.186634067,0.189079055,0.123879381,0.189894051,0.116544417,0.680725346,0.303178484,1.697840261,2.399755501,0.171556642,1.321312143,1.0,0.31601467,0.15791424234717408,0.13476174899371066,0.131621842,0.190301548,0.469437653,0.197840261,0.18313453845517236,1.297473513,3,0
925,977,0.441585424,0.761387246,0.301582228,2.342336583,3.844334346,0.225986895,0.171328113,2.140163017,0.203771776,1.260508231,0.547227106,0.334984817,0.326514304,0.260188589,0.785360396,0.597091258,1.566405626,2.180757552,0.460444302,0.647434873,0.377976666,0.352724948,0.181876299,1.164136167,3.176602206,1.478983538,0.245644878,0.29391082,0.799584465,0.169729903,0.459964839,2.203452134,0.322838421,0.399232859,0.298545629,0.643439348,0.567844015,0.351126738,0.485536199,0.354482979,0.266901071,0.413456928,0.262266262,0.213866915,0.938483015,0.169194974,2.053606329,0.348255002,0.477431363,1.517170777,0.099953467,0.151140065,0.191903211,0.107119591,0.155793392,0.132340624,0.191530945,0.123685435,0.189948813,0.107584923,0.458445789,0.295951605,1.48720335,2.30255933,0.166775244,1.27780363,0.946579805,0.216565845,0.135318753,0.108329456,0.107119591,0.109539321,0.529641694,0.115588646,0.13727315,1.905909725,5,1
1044,796,0.364487927,0.587427144,0.420482931,2.543713572,4.521856786,0.321815154,0.209616986,6.353663614,0.25020816,1.423189009,0.439841799,0.389050791,0.423397169,0.416944213,0.847835137,0.738967527,1.760407993,2.215237302,0.553080766,0.756869276,0.369900083,0.443796836,0.225020816,1.104704413,2.717110741,1.329933389,0.300791007,0.332014988,0.845337219,0.206286428,0.527060783,2.35949209,0.522897585,0.471065779,0.544754371,0.923605329,0.719608659,0.439841799,0.683597002,0.425270608,0.42173189,0.537885096,0.695670275,0.157321451,0.833147667,0.173164996,2.754796386,0.296942691,0.396212403,1.395345959,0.212031192,0.178982547,0.195692536,0.131080579,0.170565664,0.210669637,0.191855428,0.127738582,0.16969922,0.123777695,0.500804555,0.313157569,1.52952098,2.347196435,0.172546107,1.587325164,0.93501671,0.247802946,0.191236539,0.129595247,0.131080579,0.112513925,0.493873004,0.171432108,0.169327887,1.162520114,7,1
807,829,0.340852905,0.52039555,0.322620519,2.232076638,3.17552534,0.314585909,0.214153276,4.458281829,0.25092707,1.598887515,0.388751545,0.387515451,0.281829419,0.351668727,0.761124845,0.780284302,1.574165637,1.172744129,0.498763906,0.720642769,0.382571075,0.483621755,0.246909765,0.934487021,1.886588381,1.059023486,0.25710754,0.26946848,0.755253399,0.227750309,0.384116193,1.9131644,0.593016069,0.474042027,0.442521632,0.897404203,0.623918418,0.350432633,0.553770087,0.321075402,0.30500618,0.385970334,0.424598269,0.155777778,1.004444444,0.146444444,1.770222222,0.290222222,0.336888889,1.021555556,0.056222222,0.143555556,0.144444444,0.144888889,0.164666667,0.208888889,0.178666667,0.100666667,0.186666667,0.098,0.623333333,0.323555556,1.880222222,2.655111111,0.210222222,1.587777778,0.903111111,0.235777778,0.167555556,0.170222222,0.144888889,0.122666667,0.419111111,0.16960922624333333,0.198,1.256222222,6,1
971,333,0.261084505,0.440908389,0.216283022,1.619032906,2.194963695,0.185539935,0.161285339,2.091302333,0.154333385,0.806890159,0.293217982,0.227715124,0.217673413,0.199443844,0.593078943,0.455739224,0.984551213,1.013131469,0.385447242,0.481075236,0.212111849,0.255059478,0.146763479,0.7719759,1.524795304,0.829445389,0.175807199,0.20114321,0.445697513,0.124362738,0.329831608,1.413564035,0.425459601,0.399505639,0.362428549,0.552757609,0.450795613,0.294917349,0.430712189,0.276069829,0.255986405,0.358102889,0.484628457,0.192044064,0.856548348,0.163280294,2.300122399,0.281395349,0.574785802,0.781395349,0.270134639,0.183843329,0.186903305,0.12753978,0.158873929,0.211995104,0.3124847,0.129130967,0.224357405,0.132313341,0.556793146,0.32998776,1.571358629,2.182129743,0.178947368,1.169522644,0.927417381,0.245654835,0.190208078,0.141126071,0.12753978,0.149326805,0.366707466,0.209302326,0.20501836,1.189840881,7,1
815,851,0.408919383,0.639279588,0.332590051,2.507204117,4.900171527,0.255060034,0.181132075,5.221269297,0.238936535,1.445797599,0.407375643,0.33670669,0.348198971,0.303087479,0.888850772,0.819554031,1.817838765,1.305660377,0.466209262,0.783876501,0.316123499,0.40754717,0.187650086,1.101886792,2.352830189,1.243910806,0.240994854,0.275814751,0.77941681,0.164150943,0.489365352,2.604631218,0.681989708,0.498627787,0.518867925,0.928473413,0.661749571,0.35780446,0.644253859,0.34271012,0.352487136,0.449914237,0.403259005,0.173097379,1.164297457,0.150372304,1.507397737,0.2766657,0.324726816,1.486123199,0.123585727,0.150082197,0.199303742,0.148051446,0.170969926,0.187699449,0.190987332,0.116333043,0.266511943,0.152596461,0.621216517,0.260999903,1.783096412,2.575669664,0.178706121,1.459239919,0.956580601,0.23160236,0.15791424234717408,0.13476174899371066,0.148051446,0.121651678,0.434677497,0.16960922624333333,0.18313453845517236,1.062179673,6,1
149,771,0.472848789,0.639933166,0.306182122,2.059732665,3.396616541,0.252088555,0.200292398,4.327903091,0.197786132,1.391186299,0.682957393,0.319966583,0.305973266,0.314327485,0.668128655,0.485171261,1.255012531,1.706766917,0.500835422,0.596073517,0.565580618,0.362573099,0.184837093,0.812030075,2.032999165,1.369883041,0.285923141,0.261278195,0.745196324,0.208228906,0.355054302,1.864661654,0.303884712,0.415413534,0.365705931,0.688387636,0.514619883,0.325605681,0.503550543,0.331035923,0.2786132,0.320802005,0.453216374,0.142497682,0.748112833,0.16183287,1.98291617,0.292411601,0.424579526,1.307641372,0.148589591,0.149913919,0.15852205,0.105284068,0.173751821,0.162230168,0.177327506,0.111508409,0.18037346,0.105548934,0.453979605,0.276916965,1.337041451,2.068865051,0.148722024,1.20884651,0.950072838,0.242087141,0.146867965,0.110316514,0.105284068,0.08541915,0.430274136,0.125016554,0.14805986,1.473049927,0,0
985,347,0.365621698,0.572208524,0.297992251,2.004931314,2.783550546,0.245332864,0.190383938,2.948221205,0.217506164,1.177527298,0.432370553,0.32581895,0.310496654,0.294646002,0.723846425,0.649172244,1.230186685,1.384290243,0.490489609,0.607079958,0.350123283,0.362451567,0.207643536,1.018668545,2.070799577,1.128566397,0.237935893,0.282493836,0.671187038,0.182106375,0.410003522,1.900317013,0.568686157,0.435716802,0.450510743,0.679112364,0.595808383,0.323001057,0.537865446,0.346953153,0.365269461,0.414406481,0.456674886,0.1960254,1.00070555,0.179209784,2.55056444,0.320907808,0.549035748,1.062088429,0.255997178,0.171683913,0.200258702,0.120649106,0.15639699,0.186853246,0.291862653,0.130526811,0.200023518,0.112888053,0.528104421,0.327140169,1.568203198,2.212958608,0.154868297,1.213193791,0.99588429,0.1974365,0.158631232,0.136994356,0.120649106,0.120649106,0.459901223,0.14687206,0.140639699,1.543273754,7,1
521,513,0.235487662,0.429847239,0.296827262,2.461809636,3.648413631,0.256874266,0.199294947,2.561927145,0.231962397,1.937250294,0.294007051,0.345475911,0.276380729,0.308343126,0.865099882,0.70693302,1.624206816,1.183548766,0.440188014,0.75346651,0.277790834,0.419036428,0.200470035,1.032197415,2.4693302,1.069095182,0.251703878,0.290481786,0.737720329,0.206345476,0.323149236,2.260634548,0.877320799,0.43172738,0.386839013,0.709753231,0.567802585,0.344300823,0.541715629,0.278730905,0.279435958,0.341715629,0.352761457,0.149056871,0.900439654,0.142816622,1.216848674,0.250886399,0.278825698,0.893490285,0.064529854,0.138561906,0.15416253,0.118422919,0.149340519,0.171748688,0.128350589,0.101120408,0.19685151,0.087221671,0.485888526,0.257977592,1.495674372,2.379804283,0.143100269,1.333427883,0.772514537,0.206921004,0.126790526,0.114451851,0.118422919,0.122110339,0.462913062,0.109771664,0.154588002,1.299673805,3,0
238,605,0.256469501,0.400878004,0.280268022,1.878465804,2.842652495,0.220425139,0.190850277,4.547597043,0.18461183,1.201478743,0.347735675,0.360212569,0.271950092,0.28142329,0.715110906,0.751848429,1.252772643,1.13909427,0.385628466,0.572550832,0.237985213,0.337569316,0.216959335,0.8525878,1.489833641,0.829944547,0.205868762,0.253003697,0.541127542,0.146950092,0.382393715,1.562384473,0.515480591,0.447088725,0.523567468,0.771950092,0.624537893,0.340110906,0.575554529,0.337569316,0.350970425,0.479205176,0.340110906,0.137191275,0.812511267,0.155579593,1.758247701,0.297638363,0.311880296,1.134847665,0.143500992,0.193437894,0.18081846,0.129439337,0.146024878,0.188209843,0.164052641,0.127816838,0.292049757,0.175950964,0.659816117,0.318911123,1.737696052,2.357851091,0.201730665,1.378042185,0.796106003,0.205877051,0.23327925,0.212547323,0.129439337,0.165134307,0.508202632,0.240310078,0.298359474,1.049936903,2,0
863,389,0.617111731,0.68779062,0.292148266,2.113192507,3.393250963,0.237013418,0.176032948,4.10827687,0.232894912,1.221070812,0.60236482,0.36030291,0.399628006,0.268234356,0.72246579,0.859705062,1.53035738,2.480005314,0.527301714,0.580975156,0.339710376,0.332137638,0.172711572,1.178424339,2.311146539,1.159160356,0.233160622,0.293742527,0.730835658,0.171117311,0.435764581,1.984190248,0.329613392,0.395243789,0.303972366,0.736415571,0.572870998,0.286302644,0.504716354,0.354722997,0.258535937,0.390593862,0.551747044,0.206805824,1.062357481,0.169531661,2.90247325,0.32353973,0.595684968,0.976407648,0.30380635,0.164883354,0.180845466,0.111734783,0.151727767,0.218821259,0.219522891,0.121206806,0.211191019,0.130240309,0.480003508,0.3094194,1.805560428,2.081476934,0.131906683,1.171636555,0.770391159,0.223820382,0.160848974,0.134713208,0.111734783,0.114892124,0.487721452,0.187861779,0.173215225,1.760042098,5,1
799,835,0.40312229,0.66764961,0.31951431,2.572072853,4.238508239,0.273720729,0.204683435,5.249956635,0.244579358,1.392541197,0.48065915,0.383000867,0.300954033,0.324891587,0.931830009,0.948135299,1.876669558,1.292454467,0.447007806,0.703555941,0.359930616,0.383521249,0.189418907,1.103902862,2.432437121,1.25481353,0.255854293,0.285862966,0.812142238,0.186470078,0.47111882,2.515177797,0.595490026,0.476843018,0.439202082,0.886383348,0.615784909,0.376235906,0.58057242,0.328360798,0.307718994,0.443018213,0.408326106,0.175300374,1.067461099,0.128619263,1.778412448,0.275654914,0.331298011,1.288851684,0.0710065,0.116899744,0.173823124,0.136202482,0.161118771,0.215875517,0.154618869,0.091491038,0.203171164,0.103506007,0.529249557,0.27082923,1.726117786,2.568938349,0.156293086,1.45893244,0.820858775,0.201792397,0.120642111,0.112763443,0.136202482,0.098975773,0.433326768,0.16960922624333333,0.1408312,1.031219224,6,1
729,121,0.282061526,0.482620855,0.295844986,2.189972034,3.363763484,0.237115461,0.198561726,3.019176988,0.233719537,1.602676788,0.322213344,0.324011187,0.307630843,0.31921694,0.735717139,0.809228925,1.463443867,1.171194567,0.404314822,0.723731522,0.24970036,0.370954854,0.181382341,1.065321614,2.221134638,0.984818218,0.239113064,0.273072313,0.638034359,0.150219736,0.448861366,2.098282062,1.198961247,0.468437875,0.488014383,0.831002797,0.629644427,0.363963244,0.558729525,0.342588893,0.399720336,0.446064722,0.345185777,0.157458564,0.850966851,0.163535912,1.325,0.307458564,0.25,1.256353591,0.126381215,0.186740331,0.18480663,0.121823204,0.150552486,0.160497238,0.136049724,0.135773481,0.263812155,0.171685083,0.534668508,0.260359116,1.865607735,2.204834254,0.167541436,1.301104972,0.802762431,0.199033149,0.196132597,0.13476174899371066,0.121823204,0.162707182,0.498480663,0.16960922624333333,0.284392265,1.051519337,6,1
524,516,0.215015181,0.383107922,0.286502898,2.252829147,3.144631521,0.271598123,0.181617444,2.239304444,0.227159812,1.569969638,0.256693348,0.314656362,0.245652774,0.314932376,0.78056859,0.625172509,1.373999448,1.069003588,0.431686448,0.737786365,0.353574386,0.394976539,0.160916368,0.954181617,2.103505382,0.983163124,0.248688932,0.271046094,0.682031466,0.227159812,0.331769252,1.946177201,0.918299752,0.504830251,0.386144079,0.715981231,0.568589567,0.310792161,0.539332045,0.248688932,0.273530224,0.316036434,0.331217223,0.143851072,0.900714554,0.148740128,1.223768334,0.259684092,0.296352012,0.857841294,0.052651373,0.141782625,0.159270402,0.119781873,0.146671681,0.167920271,0.142910869,0.097028958,0.180142911,0.092327943,0.541933058,0.264573148,1.511282437,2.376081234,0.166415946,1.286385859,0.811207221,0.207032719,0.154193306,0.132756675,0.119781873,0.106995111,0.463144039,0.14328695,0.177698383,1.311583302,3,0
331,427,0.475678902,0.644086342,0.347358997,2.468516861,4.50373023,0.177459465,0.132995126,2.79528499,0.194469313,1.412314732,0.540535164,0.193574057,0.404257436,0.210583905,0.81736795,0.573261713,1.560827614,2.1893962,0.35849995,0.534268378,0.375808216,0.32288869,0.151198647,1.1733997721534837,3.151596538,1.325872874,0.210882324,0.240127325,0.710335223,0.142246096,0.389237044,2.360389933,0.308365662,0.411419477,0.332338605,0.642295832,0.516164329,0.368944594,0.525315826,0.331841241,0.283895355,0.401870089,0.396697503,0.175303939,0.814779539,0.162137935,1.956188022,0.287018881,0.464563841,2.094234971,0.167852541,0.135805928,0.187181355,0.118886212,0.154966665,0.167908566,0.164939212,0.118101854,0.238780884,0.140400022,0.489607261,0.30539526,1.426410443,2.114460194,0.126169533,0.974676452,0.867163427,0.236763964,0.15791424234717408,0.13476174899371066,0.118886212,0.117429548,0.437839655,0.116701216,0.18313453845517236,1.56109586,1,0
960,330,0.37869997,0.738617367,0.318812076,2.426885633,4.070213394,0.219097256,0.165896352,3.622971777,0.246435244,1.117317337,0.386665355,0.313305143,0.298456092,0.276133346,0.862130003,0.748057823,1.508014554,1.248795358,0.475562986,0.741174157,0.279870194,0.329137575,0.175631822,1.513423149,2.752581375,1.193922706,0.226177599,0.313698495,0.701150556,0.151145639,0.436031075,2.497590717,0.709509293,0.447634969,0.453338578,0.714032845,0.553643426,0.380568394,0.565148982,0.361884158,0.302979644,0.477136395,0.583341528,0.233123666,1.060934516,0.160844659,2.287599685,0.311411884,0.72542963,0.988655509,0.306357408,0.161687072,0.199764124,0.125968775,0.153993036,0.224868022,0.301302932,0.118274739,0.229641694,0.153936875,0.512018421,0.356958329,1.777322251,2.161967876,0.164045827,1.266033921,0.94945524,0.240873863,0.15090419,0.114455801,0.125968775,0.139784342,0.420307761,0.167303156,0.163034932,1.249017185,7,1
800,836,0.399506782,0.662321649,0.318478069,2.536022547,4.820151488,0.301567729,0.204157125,5.372203629,0.260524925,1.427866831,0.482296988,0.395631496,0.304033821,0.341025189,0.954201163,0.973929893,1.943456051,1.33239387,0.460806764,0.749867888,0.368680641,0.401796724,0.193059715,1.095472961,2.549057601,1.239034701,0.258234983,0.295578651,0.827373613,0.191122072,0.471023428,2.552580588,0.598203276,0.477717104,0.462920557,0.938171569,0.628324819,0.385238682,0.602959309,0.340144442,0.313898186,0.466091245,0.41958781,0.169501409,1.06366022,0.129555836,1.737389445,0.277869569,0.317717951,1.32422976,0.072601808,0.119156381,0.174458159,0.135581689,0.157449704,0.210030129,0.154728351,0.08766644,0.193021674,0.103994557,0.521430654,0.26465157,1.651472446,2.549907668,0.163183983,1.485761493,0.786276606,0.189328409,0.135192924,0.108173778,0.135581689,0.097191175,0.432695111,0.16960922624333333,0.138788998,1.022062397,6,1
834,856,0.369756497,0.57253939,0.272150604,1.903212605,3.255780643,0.214651115,0.164927358,4.083486802,0.188868426,1.332514835,0.409453653,0.2946593,0.271332106,0.257417639,0.730918764,0.676693268,1.412727645,1.113361981,0.372416616,0.694290976,0.34949867,0.327399222,0.184366687,0.897073869,1.931860037,0.987517905,0.203806016,0.230611827,0.538571721,0.144669531,0.385921833,1.69674647,0.561694291,0.495805197,0.50726417,0.841006753,0.598731328,0.359729896,0.559648046,0.307141396,0.31368938,0.429506855,0.385921833,0.152515532,0.993178219,0.129126568,1.343890852,0.24534048,0.310269217,1.101473992,0.113046656,0.129004751,0.162139116,0.133146546,0.165062736,0.204409794,0.221951517,0.08783043,0.190644415,0.10257035,0.599220368,0.279814837,1.73894506,2.026434401,0.179924473,1.316360093,0.857595322,0.249969546,0.143622853,0.133268364,0.133146546,0.12120843,0.390546961,0.143988306,0.198806188,0.977951029,6,1
206,243,0.237746891,0.383321141,0.267983419,1.724701292,2.462326262,0.263350402,0.209461107,3.937332358,0.212874909,1.182882224,0.354791514,0.337722507,0.263350402,0.319678127,0.666178981,0.811509388,1.201414289,0.971958059,0.449402585,0.559863448,0.296756889,0.356742258,0.211168008,0.799561083,1.661545964,0.853694221,0.230919288,0.263594245,0.545476713,0.203365033,0.310412095,1.499634236,0.665691295,0.411363082,0.428919776,0.720068276,0.55840039,0.315532797,0.522311631,0.311387466,0.296513046,0.357229944,0.400146306,0.138474295,0.855721393,0.15194859,1.798092869,0.258499171,0.313640133,0.945273632,0.304311774,0.235489221,0.169154229,0.122305141,0.15194859,0.168739635,0.250207297,0.126658375,0.174543947,0.088101161,0.634328358,0.302238806,1.496475954,2.235281924,0.174751244,1.658789386,0.809701493,0.234038143,0.15791424234717408,0.13476174899371066,0.122305141,0.143656716,0.445273632,0.231757877,0.215174129,1.100538972,2,0
470,326,0.366568435,0.55124427,0.330713818,2.544204322,4.503438114,0.234282908,0.192043222,3.162901113,0.206614276,1.453176162,0.443516699,0.340373281,0.287982973,0.30108055,0.921905697,0.850196464,1.822691552,1.291584807,0.412901113,0.824656189,0.332842174,0.405042567,0.192861821,1.290438769,2.648657498,1.219875573,0.257203667,0.294695481,0.769646365,0.190078585,0.388834316,2.42059594,1.042567125,0.472331369,0.440569745,0.811067453,0.566142764,0.373280943,0.599377865,0.305828422,0.308775377,0.378028815,0.337917485,0.182816901,0.95915493,0.150328638,1.335305164,0.285633803,0.322253521,1.535117371,0.095586854,0.146760563,0.186478873,0.141971831,0.153521127,0.203004695,0.190422535,0.112018779,0.196901408,0.131549296,0.555399061,0.288920188,1.413333333,2.405915493,0.181690141,1.31399061,0.844131455,0.217746479,0.15791424234717408,0.13476174899371066,0.141971831,0.118779343,0.477089202,0.130046948,0.18313453845517236,1.09943662,3,0
1050,1035,0.277106869,0.514868199,0.320348007,2.36579665,3.371250487,0.234774705,0.187378263,3.709518244,0.245033113,1.067523698,0.258018439,0.304376055,0.300090897,0.26918582,0.864692897,0.665238281,1.405012336,1.523828074,0.488637839,0.684846124,0.239449422,0.351382937,0.17971692,1.20438904,2.412543825,1.180625893,0.243474873,0.277236723,0.780807687,0.178807947,0.441241397,2.474483833,0.938189845,0.440981691,0.365536943,0.689390988,0.554733152,0.332164654,0.567328918,0.303596935,0.2684067,0.412413972,0.697312037,0.204563564,0.827019196,0.154943861,2.538645418,0.303947845,0.631437885,0.866642521,0.623180007,0.153712423,0.17573343,0.114523723,0.154002173,0.186961246,0.339224919,0.108221659,0.19268381,0.113074973,0.499166968,0.29735603,1.377399493,2.265990583,0.141760232,1.309090909,0.747700109,0.214849692,0.135458167,0.13476174899371066,0.114523723,0.13105303943681595,0.315972474,0.292285404,0.134588917,1.344585295,7,1
467,323,0.379923087,0.581753083,0.33722318,2.640763824,5.117093224,0.245060337,0.192016974,3.359899218,0.213632144,1.516907572,0.455907705,0.339875348,0.285373293,0.297440658,0.981434823,0.935287097,1.974141361,1.327277549,0.413340406,0.842328604,0.318790611,0.386686116,0.179286567,1.43296645,2.91088715,1.236042965,0.251027715,0.299297175,0.793396101,0.166953985,0.39384697,2.702426734,1.075852009,0.48375547,0.439464262,0.875215489,0.555629227,0.388277417,0.60031826,0.315210184,0.307651505,0.4037926,0.346505768,0.205799675,1.102086107,0.153277112,1.354046457,0.290279627,0.357819204,1.720594763,0.102086107,0.15201953,0.209054594,0.146101494,0.15638408,0.212605415,0.20002959,0.109927504,0.213197219,0.140405385,0.543127682,0.287098683,1.50503033,2.459683385,0.167554372,1.395398728,0.863293387,0.225625092,0.15791424234717408,0.13476174899371066,0.146101494,0.113848202,0.493046309,0.121171771,0.18313453845517236,1.041056369,3,0
